reg_no,facility_name,facility_type,facility_agent,level,county
21135,HEALTH START MEDICAL CENTRE LTD,MEDICAL CLINIC,Private,LEVEL 2,NAIROBI
21139,KAUJAIMIL STAFF CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAIROBI
21143,YAQEEN MEDICAL CENTRE LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,NAIROBI
21145,MEDONE HEALTH CENTRE LIMITED,MEDICAL CLINIC,Private,LEVEL 2,NAIROBI
21163,SHAAB MEDICAL CLINIC LIMITED,MEDICAL CLINIC,Private,LEVEL 2,NAIROBI
21164,HABAN AFYA HEALTH SERVICES,MEDICAL CLINIC,Private,LEVEL 2,NAIROBI
16675,EQUITY AFIA NGONG ROAD,MEDICAL CENTRE,Private,LEVEL 3A,NAIROBI
17991,BARIYOW MEDICAL CENTRE LIMITED,MEDICAL CLINIC,Private,LEVEL 2,NAIROBI
17997,EQUITY AFIA KASARANI MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAIROBI
18002,MILESTONES NEONATAL & PAEDIATRIC CONSULTANTS LIMIT,MEDICAL CLINIC,Private,LEVEL 2,NAIROBI
18023,EMBRACE DENTAL SUITE,MEDICAL CLINIC,Private,LEVEL 2,NAIROBI
18,DELAMARE ESTATES CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
21,MT. LONGONOT MEDICAL SERVICES,NURSING HOME,Private,LEVEL 3B,NAKURU
57,ESTHER MEMORIAL MATENITY & NURSING HOME,NURSING HOME,Private,LEVEL 3B,NAKURU
61,EVANS SUNRISE MEDICAL CENTRE,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
139,KENTALYA STAFF CLINIC NAIVASHA,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
141,ELBURGON MATERNITY HOME,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
185,ST. JOSEPHS NURSING & MATERNITY HOME,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
248,STREAMS OF LIFE DISPENSARY,DISPENSARY,Private,LEVEL 2,NAKURU
332,MARIE STOPES KENYA NAKURU CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
432,OL NJOROWA DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
502,AAR HEALTH SERVICES NAKURU,HEALTH CENTRE,Private,LEVEL 3B,NAKURU
558,MULEMI NURSING HOME,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
615,BARAKA MATERNITY & NURSING HOME,NURSING HOME,Private,LEVEL 3B,NAKURU
618,BETHANIA MEDICAL CENTRE,HEALTH CENTRE,Private,LEVEL 3B,NAKURU
819,PHOENIX WELLNESS HOSPITAL,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
845,VALLEY HOSPITAL LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
861,MIGOTIYO PLANTATION CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
914,DAKTARI MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,NAKURU
940,RAPHA MEDICAL CENTRE NAKURU,NURSING HOME,Private,LEVEL 3B,NAKURU
1035,ST ELIZABETH MEDICAL CENTRE,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
1133,LAKE NAIVASHA SOPA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
1260,SAROVA LION HILL LODGE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
1362,NINI LIMITED CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
1646,ST. MARGARET MEDICAL CLINIC-RUIRU,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
1647,CENTER MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
1652,AFRAHA MATERNITY AND NURSING HOME,NURSING HOME,Private,LEVEL 3B,NAKURU
1677,EVANS SUNRISE MEDICAL CENTRE TOWN CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
1724,KARIMBUX MUSLIM HALL MEDICAL CLINIC,DISPENSARY,Private,LEVEL 2,NAKURU
1809,PANDA FLOWERS CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
1867,NACOHAG MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2014,CALVARY MEDICAL CENTRE,DISPENSARY,Private,LEVEL 2,NAKURU
2016,KHEMS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2026,AGRIFLORA (K) LTD CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2030,GIBEA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2141,NEW KIMILILI MEDICAL CLINIC,NURSING HOME,Private,LEVEL 3B,NAKURU
2186,WAMA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2187,KENGEN MVUKE CLINIC,HEALTH CENTRE,Private,LEVEL 3B,NAKURU
2227,AQUILA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2263,THE KAREN HOSPITAL LTD - NAKURU CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2344,TONYMED MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2388,AVENUE HEALTHCARE NAKURU CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2418,MT. KENYA UNIVERSITY NAKURU CAMPUS CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2437,NARAMAT MEDICAL & DENTAL CLINIC NAKURU,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2460,TULAGA FARM CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2482,VEGPRO DELAMERE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2483,THE AGA KHAN UNIVERSITY HOSPITAL NAIVASHA CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
2490,GORGE FARM CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2513,ANKH WOMENS CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2526,WAYSIDE MEDICAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
2559,VINET MEDICAL SERVICES,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
2587,ADVENT MED AND DENT CARE CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
2602,THE AGA KHAN UNIVERSITY HOSPITAL NAKURU CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
2607,FHOK-FAMILYCARE MEDICAL CENTRE - NAKURU,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2626,SUBATI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2740,THE KINGS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2870,GRANDHEAL HOSPITAL CARE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2919,BETHANIA ANNEX MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
2952,MAAI MAHIU MATERNITY HOSPITAL LTD,NURSING HOME,Private,LEVEL 3B,NAKURU
2955,ELEPHANT DENTAL LIMITED- NAIVASHA,DENTAL CLINIC,Private,LEVEL 2,NAKURU
3063,THE AGA KHAN UNIVERSITY HOSPITAL NAKURU WEST CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
3123,NDONYO HEALTH CARE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
3124,GLORY MEDICAL REPRODUCTIVE HEALTH & YOUTH FRIENDL,HEALTH CENTRE,Private,LEVEL 3B,NAKURU
3200,DR. WABORE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
3269,THE NAIROBI WOMENS HOSPITAL - NAKURU,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
3284,BENTA AND LEON HEALTHCARE LTD,SPECIALIZED TREATM,Private,LEVEL 4B,NAKURU
3289,BARGAIN MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
3331,GOLDENLIFE VICTORS HOSPITAL LTD,NURSING HOME,Private,LEVEL 3B,NAKURU
3487,VALLEY SPRINGS HEALTHCARE,NURSING HOME,Private,LEVEL 3B,NAKURU
3521,NDONYO HEALTHCARE-KWA MUHIA,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
3610,NAKURU HEART CENTRE,MATERNITY HOME,Private,LEVEL 3B,NAKURU
3623,SHALOM MEDICAL CLINIC-MANGU (NAKURU),MEDICAL CLINIC,Private,LEVEL 2,NAKURU
3792,WONDER SLOPES MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
3814,UMASH FUNERAL SERVICES NAKURU,FUNERAL HOME (STA,Private,LEVEL 3A,NAKURU
3817,MAMLAKA MEDICAL CENTER,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
3905,MBARUK AFYA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
3928,LANET MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,NAKURU
3995,HOPE WORLDWIDE KENYA GILGIL,HEALTH CENTRE,Private,LEVEL 3B,NAKURU
4081,DEEP WHITE DENTAL LIMITED,DENTAL CLINIC,Private,LEVEL 2,NAKURU
4108,TUTI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
4115,ST MONICA MEDICAL CENTRE NAKURU,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
4134,ZAC MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
4184,HAZAEL MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
4193,TOPCARE SUBUKIA MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,NAKURU
4200,VAN DEN BERG CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
4210,GDC STAFF CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
4315,WILDFIRE LIMITED,DISPENSARY,Private,LEVEL 2,NAKURU
4316,NORTH LAKE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
4370,IMPACT HEALTHCARE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
4417,KENLANDS HEALTH SERVICES NAKURU-MAILI SITA,NURSING HOME,Private,LEVEL 3B,NAKURU
4431,DEVELOPMENT PAMOJA DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
4453,MEDISPRINGS MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
5036,EBENEZER MEDICAL CLINIC NAKURU,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
5547,JAMII BORA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
5557,ST JAMES MEDICAL SERVICES HURUMA,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
5566,THE LIGHT NAIVASHA DOCTORS PLAZA,NURSING HOME,Private,LEVEL 3B,NAKURU
5621,QUALITY MODERN HOSPITAL LTD,NURSING HOME,Private,LEVEL 3B,NAKURU
5659,IMANI MEDICAL CENTRE KIAMUNYI,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
5672,RONSA MEDICARE CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
5681,LINAX MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
5714,NEEMA MEDICAL HOME LTD,MATERNITY HOME,Private,LEVEL 3B,NAKURU
5722,MOGOTIO RIVAX MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
5754,NAKURU HEART CENTRE DENTAL CLINIC,DENTAL CLINIC,Private,LEVEL 2,NAKURU
5759,BLISS HEALTHCARE LTD NAIVASHA,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
5794,SUBATI FLOWERS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
5930,MEDICROSS LIMITED NAKURU,HEALTH CENTRE,Private,LEVEL 3B,NAKURU
6079,BENMAC HEALTH CLINIC,NURSING HOME,Private,LEVEL 3B,NAKURU
6116,CHERRYL CARE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
6144,GTB SCAN LAB NAKURU LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
6180,TEMEKE DENTAL CLINIC,DENTAL CLINIC,Private,LEVEL 2,NAKURU
6258,ELEPHANT DENTAL NAKURU,DENTAL CLINIC,Private,LEVEL 2,NAKURU
6280,DEVANS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
6450,MURAYA MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
6455,CENTRAL RIFT MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
6506,ACE MEDICAL CONSULTANCY LIMITED,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
6571,GRACE HEAL HEALTH CARE,NURSING HOME,Private,LEVEL 3B,NAKURU
6637,ALEXANDRIA CANCER CENTRE AND PALLIATIVE HOSPITAL LI,NURSING HOME,Private,LEVEL 3B,NAKURU
6760,NJORO HUDUMA MEDICAL CLINIC NAKURU,NURSING HOME,Private,LEVEL 3B,NAKURU
6818,MEDIHEAL HOSPITAL NAKURU,Hospital Level 5,Private,LEVEL 5,NAKURU
6820,LYON AND LEWIS HEALTHCARE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
7070,CRATER X- RAY CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
7119,SUBUKIA INTERGRATED MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
7199,OPTIMUM CURRENT HEALTH CARE,NURSING HOME,Private,LEVEL 3B,NAKURU
7266,SKYCARE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
7333,AESTHETICA AT EVANS SUNRISE MEDICAL CENTRE,DENTAL CLINIC,Private,LEVEL 2,NAKURU
7378,MAGUI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
7398,CONSOLATA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
7406,KONGONI RIVER FARM LIMITED CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
7444,PALMED HEALTHCARE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
7541,MACCHRIS MEDICAL AND DENTAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
7743,OMEGA OPTICIANS LTD -NAKURU,EYE CLINIC,Private,LEVEL 2,NAKURU
7886,TRINITY MAXICARE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
10045,SMART HEALTHCARE MAAI MAHIU,NURSING HOME,Private,LEVEL 3B,NAKURU
12689,GILGIL ANNEX HOSPITAL,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14139,RANALO MEDICAL IMAGING CENTER,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
14259,KIDNEY SOLUTIONS CLINIC,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
14299,LAKESIDE INTEGRATED MEDICAL SERVICES,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
14307,SINAIA MEDICAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
14362,CHEBARAA EXOCARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14378,NAKURU EYE & OPTICAL CLINIC,EYE CLINIC,Private,LEVEL 2,NAKURU
14379,NEM MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14415,KONGONI RIVER FARM CLINIC-GALAXY DIVISION,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14416,KONGONI RIVER FARM CLINIC-STAR DIVISION,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14418,ROKI GREATCARE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14424,BUFFALOMALL DENTAL CLINIC,DENTAL CLINIC,Private,LEVEL 2,NAKURU
14469,SIMHEALTHCARE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
14472,KERINGET NURSING HOME LTD,NURSING HOME,Private,LEVEL 3B,NAKURU
14728,BINGWA AFYA CLINIC LTD,NURSING HOME,Private,LEVEL 3B,NAKURU
14731,ALPHIL MEDICAL CENTRE LIMITED,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14749,GEO MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14754,DANDELION MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
14761,MECY GILS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14799,THE HINSON\'S HEALTH CARE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14829,KAWA MEDICAL AND LABORATORY,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14873,BETHANY HILLCREST HOSPITAL,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14888,MOWAM FAMILY CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14889,KINGS BETTER LIFE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14899,JYKA HEALTHCARE SERVICES,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14954,LANGSTENS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
14982,TWINS MEDICAL CLINIC LIMITED,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15005,THE KAREN HOSPITAL NAIVASHA BRANCH,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
15042,ROPHEKA MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15113,THE NAIROBI WOMENS HOSPITAL NAKURU CBD,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
15141,MOTHER KEVIN CATHOLIC HOSPITAL,FAITH BASED LEVEL 4,Private,LEVEL 4,NAKURU
15144,MARKS EVER HEALTH CARE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15149,PASSIONATE CARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15161,OVARMS COMMUNITY MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15165,ALPHIL MATERNITY AND NURSING HOME,NURSING HOME,Private,LEVEL 3B,NAKURU
15219,SPACE CARE MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15238,MOLO RIVERS ROSES LTD,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15239,RAVINE GLORY HEALTHCARE SERVICES RAFIKI,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15305,EASTVALLEY NURSING HOME,NURSING HOME,Private,LEVEL 3B,NAKURU
15310,LYON AND LEWIS HEALTHCARE GILGIL,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15363,MAI MAHIU NEEMA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15424,FLORENZA LIMITED MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15439,LINDA UZIMA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15448,DENTALMED CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
15451,JOY-ELLEN WOMENS HOSPITAL LTD,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
15457,THE NAIROBI WOMEN\'S HOSPITAL NAIVASHA,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
15518,MYKVIEW POINT MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15528,SIERRA FLORA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15529,ROSETO FARM CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15530,RAINFOREST FARMLANDS KENYA LIMITED,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15559,LESHWA MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
15608,EDEN DENTAL CLINIC NAKURU,DENTAL CLINIC,Private,LEVEL 2,NAKURU
15713,ALGADHIR CENTER LIMITED,NURSING HOME,Private,LEVEL 3B,NAKURU
15716,SACHANGWAN HIGHWAY MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
15767,HESHIMA DUNDORI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15773,EMMAUS MEDICAL CENTRE - KURESOI,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15814,THE DENTIST LIMITED,DENTAL CLINIC,Private,LEVEL 2,NAKURU
15850,KONGONI MEDICAL CENTER,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
15880,AKAYIOZ MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15888,X-CELLENT MEDICAL CENTRE KIHINGO,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15895,DAMIANA HEALTH MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
15896,STIRLING HEALTHCARE CONSULTANTS  NAKURU,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
15899,WARE MEGA DENTMEND KENYA LIMITED,DENTAL CLINIC,Private,LEVEL 2,NAKURU
15944,CROWN DENTAL CLINIC,DENTAL CLINIC,Private,LEVEL 2,NAKURU
15985,GODS FAVOUR MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16038,GILGIL HEALTHCARE MEDICAL CENTRE LIMITED,NURSING HOME,Private,LEVEL 3B,NAKURU
16043,NOAH MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16052,MAIKO MEDICAL CLINIC,NURSING HOME,Private,LEVEL 3B,NAKURU
16078,DIAGNOPATH LIMITED,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16094,MEDIHEAL HOSPITAL LTD -NAKURU ANNEX,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
16113,KIHIA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16127,SOUTH LAKE DENTAL SERVICES,DENTAL CLINIC,Private,LEVEL 2,NAKURU
16129,ALPHABLISS HEALTH CLINIC LONGONOT,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16191,ZOPHIM FAMILYCARE MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16212,BOENSUMMIT MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16271,SIR.OSTEEN MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16279,LA VINY MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16352,LAKE NAKURU SOPA DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16360,ADVENT MEDICARE & MATERNITY CENTER,NURSING HOME,Private,LEVEL 3B,NAKURU
16439,CAREPOINTE DENTAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16441,SHOT PEAK HOPE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16490,THE NAKURU SPECIALIST HOSPITAL LTD(CANCER & INFECTI,Hospital Level 5,Private,LEVEL 5,NAKURU
16507,ST. JOSEPH\'S NURSING & MATERNITY HOME SALGAA,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16527,NORTH POINT DENTAL CARE,DENTAL CLINIC,Private,LEVEL 2,NAKURU
16635,KELVIN SHAK MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16691,GIBEAS MEDICAL CLINIC - KIKOPEY,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16695,TALIHMED CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16752,BEMALAND MEDICARE CENTER,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16767,ST. JOSEPH RIFT VALLEY HOSPITAL,NURSING HOME,Private,LEVEL 3B,NAKURU
16776,SIMPLY CONNECT OUT OF AFRICA BY THE SEA LIMITED,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16837,LONDON MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16844,FAMILY WELLNESS CENTRE,NURSING HOME,Private,LEVEL 3B,NAKURU
16857,ANNIC MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16878,ZENIK OLIVE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16933,ITARC KENYA LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
16962,EQUITY AFIA NAKURU MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
16974,JALARAM SHREE DHAM MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
16978,HEALTOPS HEALTHCARE MEDICAL CLINIC NAKURU,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
16991,MEDWEST MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17015,MENENGAI SUNRISE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
17025,PHILO MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17146,BEAJON MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17171,ALPS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17187,ST. TRESA\'S OLK MEDICAL CLINIC LTD,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
17254,KAHOYA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17272,BETHESDA NURSING HOME KARAGITA,NURSING HOME,Private,LEVEL 3B,NAKURU
17301,PRISTON HEALTHCARE LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
17348,KARIKI LIMITED,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17378,DIPLOMAT HEALTH SERVICES NAIVASHA,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17388,HOME CARE HEALTH CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17433,EYE  & U NAKURU LIMITED,EYE HOSPITAL LEVEL,Private,LEVEL 4,NAKURU
17452,SON AND DAUGHTER MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17597,ST.  JOHN MEMORIAL MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17646,GTB SCAN LAB NAKURU LIMITED-MRI CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,NAKURU
17648,SOUTH LAKE MEDICAL CENTRE LIMITED-KARAGITA,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17702,DEVELOPMENT PAMOJA MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17815,BLOOMING MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
17868,HEALTH WAVE MEDICAL SERVICES LIMITED-HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,NAKURU
18049,MEDRISE HEALTH,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
18075,SMILEDENT DENTAL CENTRE,DENTAL CLINIC,Private,LEVEL 2,NAKURU
18112,NDEFFO HEALTHCARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,NAKURU
