facility_name,reg_no,facility_type,level,county,status
NYAKWANA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAKWERI HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
NYALENDA CHRISTIAN NURSING HOME,001xxx,MISSION HOSPITAL LEVEL 3,LEVEL 3B,HOMA BAY,ACTIVE
NYALENDA GODSWILL MEDICARE CENTRE,003xxx,MEDICAL CENTRE,LEVEL 3B,KISUMU,ACTIVE
NYALENDA HEALTH CENTRE,GK-xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
NYALGANDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYALGOSI DISPENSARY,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
NYALI BRIDGE MOMBASA HOSPITAL LTD,003xxx,NURSING HOME,LEVEL 3A,MOMBASA,ACTIVE
NYALI DENTAL CARE,019xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
NYALI HEALTH CARE LTD,001xxx,HOSPITAL LEVEL 4,LEVEL 4,MOMBASA,ACTIVE
NYALI HEALTHCARE LTD BAMBURI,015xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
NYALI SKIN CARE CENTRE LTD,007xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
NYALIFE WOMEN\'S HEALTH CLINIC,017xxx,MEDICAL CENTRE,LEVEL 3B,MACHAKOS,ACTIVE
NYALILBUCH DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
NYALKEMBO DISPENSARY.,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
NYALKINYI JERSEY HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,HOMA BAY,ACTIVE
NYALUNYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
NYALWENY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
NYAMACHE SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KISII,ACTIVE
NYAMADEDE HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
NYAMAGE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYAMAGESA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAMAGIRI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAMAGONGWI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYAMAGUNDO SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KISII,ACTIVE
NYAMAGWA CATHOLIC HEALTH CENTRE,015xxx,HEALTH CENTRE,LEVEL 3A,KISII,ACTIVE
NYAMAGWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAMAIYA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYAMIRA,ACTIVE
NYAMAIYA MEDICAL CENTRE LIMITED,018xxx,MEDICAL CLINIC,LEVEL 2,KISII,ACTIVE
NYAMAKOROTO S.D.A DISPENSARY,000xxx,DISPENSARY,LEVEL 2,NYAMIRA,INACTIVE
NYAMAMITHI DISPENSARY,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAKURU,ACTIVE
NYAMANENGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAMANGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYAMANGA DISPENSARY - HOMA BAY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
NYAMANGA NYALIANDE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYAMARAGA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MIGORI,ACTIVE
NYAMARANYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYAMARIMBA SUB-COUNTY HOSPITAL,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISUMU,ACTIVE
NYAMASARE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYAMASE MEDICAL CLINIC,016xxx,MEDICAL CENTRE,LEVEL 3B,MIGORI,ACTIVE
NYAMASEGE DISPENSARY,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISII,ACTIVE
NYAMASI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
NYAMASIBI SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KISII,ACTIVE
NYAMATHI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
NYAMATWONI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAMBARE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
NYAMBARIA GEKE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
NYAMBENE CLINICAL SERVICES AND NURSING HOME,001xxx,HOSPITAL LEVEL 4,LEVEL 4,MERU,ACTIVE
NYAMBENE SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,MERU,ACTIVE
NYAMBOYO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
NYAMBUGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
NYAMBUNWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAMEKOMA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYAMEKONGOROTO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MIGORI,ACTIVE
NYAMEMISO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAMETABURO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MIGORI,ACTIVE
NYAMETEMBE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYAMILU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYAMIRA COUNTY REFERAL HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NYAMIRA,ACTIVE
NYAMIRA JAMII MEDICAL & DIAGNOSTIC CENTRE,004xxx,NURSING HOME,LEVEL 3A,NYAMIRA,ACTIVE
NYAMISRA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,HOMA BAY,ACTIVE
NYAMOGO HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
NYAMOGONCHORO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAMOKENYE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
NYAMOKENYE HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAMONGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYAMOSI MEDICAL CENTRE,007xxx,MEDICAL CLINIC,LEVEL 2,NYAMIRA,ACTIVE
NYAMSENDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
NYAMUSI MEDICAL CENTRE,006xxx,MEDICAL CLINIC,LEVEL 2,KISII,ACTIVE
NYAMUSI SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NYAMIRA,ACTIVE
NYAMWANGA OPD HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,NYAMIRA,ACTIVE
NYAMWARE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYAMWARE DISPENSARY - RABUOR,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
NYAMWARE GIOKA DISPENSARY KISII,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAMWETUREKO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
NYAMWINI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYANCHONORI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
NYANCHWA ADVENTIST MISSION HOSPITAL,003xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,KISII,ACTIVE
NYANDAGO-KOWERU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYANDARUA AMPOH MEDICAL CENTRE,020xxx,MEDICAL CLINIC,LEVEL 2,NYANDARUA,ACTIVE
NYANDIWA BAPTIST CHURCH DISPENSARY,001xxx,FAITH BASED DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
NYANDIWA LEVEL 4 HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,HOMA BAY,ACTIVE
NYANDOCHE IBERE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
NYANEJE HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
NYANG\'AITA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
NYANG\'ANDE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISUMU,ACTIVE
NYANG\'OMA SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KISUMU,ACTIVE
NYANG\'U DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
NYANGAJO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
NYANGARI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
NYANGENA HOSPITAL LTD,000xxx,Hospital Level 5,LEVEL 5,KISII,ACTIVE
NYANGENA LEVEL 4 HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NYAMIRA,ACTIVE
NYANGIELA LEVEL 4 HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,HOMA BAY,ACTIVE
NYANGITI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MURANG'A,ACTIVE
NYANGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
NYANGOGE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MIGORI,ACTIVE
NYANGOMA KOGELO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
NYANGORE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
NYANGORI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
NYANKO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYANKONGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
NYANKONO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
NYANKORE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MIGORI,ACTIVE
NYANSABAKWA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYAMIRA,ACTIVE
NYANSAGATIA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYANSAKIA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISII,ACTIVE
NYANSANGIO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
NYANSIONGO MATERNITY AND NURSING HOME,000xxx,MEDICAL CLINIC,LEVEL 2,NYAMIRA,ACTIVE
NYANSIRA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYANTURAGO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYAMIRA,ACTIVE
NYAOGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
NYAORE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAPETA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
NYAPORO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
NYARANGI MEDICAL CENTRE LTD,016xxx,NURSING HOME,LEVEL 3A,MIGORI,ACTIVE
NYARI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
NYARIBO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
NYAROHA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYARONDE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
NYARONGI DISPENSARY_,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYARU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
NYARUT HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
NYASIKE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYASOKO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
NYASORO MEDICAL CLINIC,015xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
NYATALIO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MANDERA,ACTIVE
NYATHENGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
NYATHUNA LEVEL 4 HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KIAMBU,ACTIVE
NYATIEKO -GESUSU HEALTH SERVICES,180xxx,NURSING HOME,LEVEL 3A,KISII,ACTIVE
NYATIKE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISII,ACTIVE
NYATOTO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,HOMA BAY,ACTIVE
NYAUNYAU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
NYAURA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
NYAWANGO HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
NYAWARA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,SIAYA,ACTIVE
NYAWAWA HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
NYAWITA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
NYAWITA MEDICAL CLINIC,180xxx,MEDICAL CENTRE,LEVEL 3B,KISUMU,ACTIVE
NYAYIERA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
NYENYE MISORI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
NYERI COUNTY REFERRAL HOSPITAL,GK-xxx,Hospital Level 5,LEVEL 5,NYERI,ACTIVE
NYERI HOSPICE,016xxx,NURSING HOME,LEVEL 3A,NYERI,ACTIVE
NYERI MEDICAL CENTRE,006xxx,MEDICAL CLINIC,LEVEL 2,NYERI,ACTIVE
NYERI PRIMARY SCHOOL DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
NYERI TECHNICAL DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
NYERI TOWN HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYERI,ACTIVE
NYIMBEI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
NYINA WA MUMBI HEALTH SERVICES,000xxx,DISPENSARY,LEVEL 2,NAIROBI,ACTIVE
NYITIENGE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
NYLAHMED HEALTHCARE CENTRE LIMITED,022xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
NYODIMA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
NYONGORES DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
NYONJORO HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,NAKURU,ACTIVE
NYOROTIS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
NYS CHEPSIREI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
NYS DISPENSARY MTONGWE,GK-xxx,DISPENSARY,LEVEL 2,MOMBASA,ACTIVE
NYS DISPENSARY-GILGIL,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
NYS DISPENSARY-SUBA,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
NYS HEALTH CENTRE RUARAKA,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
NYS KARATE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
NYS MAVOLONI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
NYS TUMAINI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYANDARUA,ACTIVE
NYS TURBO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
NYS YATTA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
NYSONIDIA ENT SPECIALIST CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,HOMA BAY,INACTIVE
NYUMBANI AFYA MEDICAL CLINIC,000xxx,MEDICAL CLINIC,LEVEL 2,MAKUENI,ACTIVE
NYUMBANI DIAGNOSTIC LABORATORY,000xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,INACTIVE
NYUMBANI MEDICAL CENTRE,003xxx,MEDICAL CENTRE,LEVEL 3B,MERU,ACTIVE
NZAIKONI SACRED HEART DISPENSARY,000xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
NZAINI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
NZALAE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
NZANGATHI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
NZATANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
NZAUNI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
NZAWA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
NZEENI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
NZELUNI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
NZEVENI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MAKUENI,ACTIVE
NZINIA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
NZIRONA DENTAL CLINIC,005xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
NZIU HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MAKUENI,ACTIVE
NZOIA ACK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
NZOIA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TRANS NZOIA,ACTIVE
NZOIA DISPENSARY-KAKAMEGA,GK-xxx,DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
NZOIA MEDICAL CENTRE,002xxx,NURSING HOME,LEVEL 3A,BUNGOMA,ACTIVE
NZOIA MEDICAL CENTRE - CHWELE,007xxx,NURSING HOME,LEVEL 3A,BUNGOMA,ACTIVE
NZOIA SUGAR COMPANY,006xxx,MEDICAL CLINIC,LEVEL 2,BUNGOMA,ACTIVE
NZOILA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
NZOUNI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
NZUKINI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
NZUKINI DISPENSARY-MAKUENI,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
NZUNGUNI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
OAK SPRINGS HEALTH CARE LIMITED,019xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
OAK TREE CENTRE FOR KIDNEY & CHRONIC DISEASES LTD,007xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,UASIN GISHU,ACTIVE
OAKLAND MEDICAL CENTRE,019xxx,NURSING HOME,LEVEL 3A,NAKURU,ACTIVE
OAKLEIGH HEALTHCARE SERVICES LIMITED,018xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
OAKLEY MED LIMITED,004xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
OAKWOOD HOSPITAL LIMITED,008xxx,HOSPITAL LEVEL 4,LEVEL 4,KIAMBU,ACTIVE
OASIS DOCTORS PLAZA,003xxx,MEDICAL CENTRE,LEVEL 3B,KISII,ACTIVE
OASIS DOCTORS PLAZA BUSIA LIMITED,018xxx,MEDICAL CENTRE,LEVEL 3B,BUSIA,ACTIVE
OASIS DOCTORS PLAZA HOMABAY,004xxx,NURSING HOME,LEVEL 3A,HOMA BAY,ACTIVE
OASIS DOCTORS PLAZA KAKAMEGA LIMITED,016xxx,HOSPITAL LEVEL 4,LEVEL 4,KAKAMEGA,ACTIVE
OASIS DOCTORS PLAZA MIGORI,005xxx,HOSPITAL LEVEL 4,LEVEL 4,MIGORI,ACTIVE
OASIS DOCTORS PLAZA NAIROBI GREEN HOUSE,006xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
OASIS DOCTORS PLAZA NGONG,020xxx,MEDICAL CENTRE,LEVEL 3B,KAJIADO,ACTIVE
OASIS DOCTORS PLAZA NYAMIRA,003xxx,MEDICAL CENTRE,LEVEL 3B,NYAMIRA,ACTIVE
OASIS DOCTORS PLAZA WEBUYE LIMITED,017xxx,HOSPITAL LEVEL 4,LEVEL 4,BUNGOMA,ACTIVE
OASIS HEALTH DOCTORS PLAZA ELDORET LIMITED,008xxx,MEDICAL CENTRE,LEVEL 3B,UASIN GISHU,ACTIVE
OASIS HEALTH FAMILY MEDICINE SERVICES LIMITED,019xxx,MEDICAL CLINIC,LEVEL 2,KISII,ACTIVE
OASIS HEALTH SIAYA,015xxx,HOSPITAL LEVEL 4,LEVEL 4,SIAYA,ACTIVE
OASIS HEALTHCARE GROUP LIMITED-MAKADARA,016xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
OASIS HOPE HEALTH CARE,019xxx,MEDICAL CLINIC,LEVEL 2,ISIOLO,ACTIVE
OASIS MATERNITY AND NURSING HOME,015xxx,HOSPITAL LEVEL 4,LEVEL 4,NYAMIRA,ACTIVE
OASIS MEDICAL CENTRE,003xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,KILIFI,ACTIVE
OASIS MEDICAL CLINIC,007xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
OASIS MENTAL HEALTH LIMITED,014xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
OASIS NTUNYIGI HOSPITAL,015xxx,HOSPITAL LEVEL 4,LEVEL 4,MIGORI,ACTIVE
OASIS SPECIALIST HOSPITAL,003xxx,Hospital Level 5,LEVEL 5,KISII,ACTIVE
OASIS SURGICAL CENTRE LIMITED,019xxx,NURSING HOME,LEVEL 3A,TURKANA,ACTIVE
OASISCARE CENTRE ANDAPOL CLINIC,006xxx,MEDICAL CLINIC,LEVEL 2,MIGORI,ACTIVE
OBALWANDA RURAL DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OBAMA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
OBAMBO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
OBANGA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,HOMA BAY,ACTIVE
OBEKAI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
OBER KABUOCH DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OBER KAMOTH SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KISUMU,ACTIVE
OBER LEVEL 4 HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,HOMA BAY,ACTIVE
OBER-OGUNGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
OBINO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
OBOCH DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
OBOKE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
OBONYO MULO HOSPITAL LIMITED,020xxx,MEDICAL CENTRE,LEVEL 3B,HOMA BAY,INACTIVE
OBUMBA DISPENSARY,GK-xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
OBUNGA DISPENSARY,GK-xxx,HEALTH CENTRE,LEVEL 3A,HOMA BAY,ACTIVE
OBUNGA DISPENSARY-RAILWAYS,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
OBUNGA FAMILY HEALTH CENTRE,017xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
OBUYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OBWANDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
OBWARE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
OBWOGRE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
OCEAMNIC MEDICAL CENTRE,017xxx,MEDICAL CENTRE,LEVEL 3B,KAKAMEGA,ACTIVE
OCEAN CITY MEDICAL CENTRE LTD,023xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
OCEAN EYE CENTRE LIMITED,019xxx,EYE CLINIC,LEVEL 2,MOMBASA,ACTIVE
OCEAN SMILE DENTAL CLINIC,003xxx,DENTAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
