Provider,03-Dec,05-Dec,11-Dec,18-Dec,23-Dec,09-Jan,30-Jan,03-Feb
LIMURU COTTAGE HOSPITAL,,10000,,,,,,
LIMURU COTTAGE HOSPITAL KENTMERE ANNEX,,,,360000,693440,30000,,80000
LIMURU COTTAGE HOSPITAL MATERNITY ANNEX,,10000,,,,,,
LIMURU HEALTH CENTRE,,,30000,20000,,,10000,40000
Limuru Nursing Home,"10,000",,360800,587584,127200,769840,,901360
Limuru Valleymed Diagonistic Centre,,,120000,110000,20000,180000,,110000
LIONS SIGHTFIRST EYES HOSPITAL,,,6651040,12255440,1348400,5802400,3191400,1980000
Lipton Central Hospital,"1,406,919",297883,1772480,645040,394160,1258160,505651,1281600
LISA HOSPITAL LIMITED,,,,302400,408160,432080,,325440
Living Room International,"16,800",23520,2695300,1926240,874640,7098180,61440,1696960
LODENG'O HEALTH CENTRE,,,44800,,64960,126320,,239680
Lodwar County Referral Hospital,"175,090",133840,886850,595680,348480,1614960,,2463920
Lodwar Hills Medical Centre,"15,680",,90840,4480,,118240,,129120
LOITA COMMUNITY HEALTH & EDUCATION CENTRE ENTASEKERA,,,,20000,,,,10000
LOITOKITOK SUB-COUNTY HOSPITAL,,,,,511760,4054520,,744080
Lolgorian Sub County Hospital,30000,,380000,30000,,250000,,240000
Londiani Sub County Hospital,"578,400",152000,1118320,1208080,928960,1586800,72640,1981840
LONDON CLINIC & DIALYSIS CENTRE(UPPERHILL),,,,7305891,639000,894600,,2066100
LONGISA COUNTY REFERAL HOSPITAL,,803430,2954779,1801570,963510,3194250,,6060262
LOODOARIAK DISPENSARY,,,,20000,,10000,,40000
Lopiding Sub County Hospital,30000,,117440,113760,137760,248000,,190960
LORENZA MEDICAL CENTRE,,,,120960,66000,257600,,344960
LORIEN DISPENSARY,,,,10000,,10000,,
LORUGUM SUB-COUNTY HOSPITAL,,,,,20000,10000,,33360
Lowarengak Health Centre,"250,520",16720,100640,327040,,346560,,159040
Lubao Centre Medical Clinic,,,,,10000,3500,,
Lukhome Dispensary (Kabuchai),60000,20000,30000,40000,90000,431000,,360700
LUKOHE HEALTH CENTRE,,,,10000,,10000,,6100
Lukolis Model Health Centre,,,86720,110000,40000,191200,,220000
Lukusi Dispensary,,,50000,40000,,40000,,50000
LUMAKANDA SUB-COUNTY HOSPITAL,,,,,1057760,1609200,,1424800
Lumino Maternity and Nursing Home,"1,608,160",33970,3214400,1570960,398720,2341120,,1289040
LUMUMBA SUB COUNTY HOSPITAL,,,,,1963000,2988520,,1646720
Lungalunga Subcounty Hospital,"284,078",,515120,150000,110000,450000,173600,593360
Lung'anyiro Health Centre,,,100000,96720,35680,146720,,243440
Lupe Medical Centre,,58170,144480,208320,144480,295680,73920,342720
Lurare Dispensary,,,50000,,,20000,,10000
Lusheya Health Centre,,,,60000,10000,80000,,210000
Lusigetti Sub-county Hospital,"220,000",120000,333520,210080,73520,210080,,736800
LUTON MEDICAL HOSPITAL LIMITED,,2537170,2602670,1471650,343180,1496570,398890,1154950
Luucho Dispensary,,,10000,,,,,10000
LUVERNE MEMORAL MEDICAL CENTER,,,,,20160,17920,,
LWAKHAKHA DISPENSARY,,,,,20000,110000,,60000
Lwala Community Hospital,"250,960",31000,459776,369520,146160,556880,174640,760960
Lwanda kobita Health Center,,,20000,,,,,10000
Lwandanyi Dispensary,,,144480,14480,90160,232560,,233920
Lyndah-Care Medical Centre,,,,,107520,521920,,440080
Lyson Manyatta Clinic,"114,240",75530,736960,365120,119760,210400,203840,223680
MAALIMIN DISPENSARY,,,110000,30000,10000,90000,,50000
MAAWI MEDICAL CENTRE LTD,,,,,517440,302400,,156800
Mabera Maternity & Nu,,,58240,89600,35840,295680,49280,452480
Mabole Health Centre,,,,16000,8350,60150,,39700
MABUSI HEALTH CENTRE,,,,20000,30000,10000,,10000
Macalder Sub-County Hospital,,,20000,,,,40000,156880
Machakha Dispensary,,,30000,70000,10000,40000,,91000
Machakos County Referral Hospital,215304,301320,3145485,3316420,1123110,10509250,,12572346
Madende Dispensary,"84,480",,84640,30000,,50000,,91200
Madiany Sub County Hospital,,,140000,130000,70000,210000,,220160
MADINA HOSPITAL LIMITED,,,,44800,,,,
MADUNGUNI DISPENSARY,,,50000,,,50000,,30000
Maendeleo Clinic,"10,000",10000,20900,40000,15680,93440,23280,192560
MAGADI SODA COMPANY HOSPITAL MAGADI,,,20160,90640,47040,328560,,477475
MAGAN NURSING HOME LIMITED,,,,,423360,241920,,210560
Magdak Maternity and Nursing Home,"94,080",11200,125440,120960,13440,409920,,647360
Magena Health Centre,"20,000",,40000,110000,,130000,,90000
MAGINA HEALTH CENTRE,"17,920",,33600,10000,10000,90000,,279040
Magombo Health Centre,"11,200",,8960,20000,,22400,,266400
Magunga Level IV Hospital,"16,720",4480,715600,2402080,945280,1854720,,6632920
MAGUTUNI DISTRICT HOSPITAL,,123384,265461,40270,108294,344966,,404874
MAGWAGWA HEALTH CENTRE,,,33000,,,,,58960
MAGWALAND HEALTHCARE,,,,621520,1569840,2535680,,1379840
MAHNAZ NURSING HOME,,,,329280,2626960,748160,182240,940800
MAIDA HEALTHCARE LIMITED,,,,,628350,660300,,351450
MAIELA HEALTH CENTRE,,,,50000,10000,,10000,
Maimoon Hospital,53760,63840,98560,30240,33600,107440,,104160
Mainland Relief Hospital,"8,960",6500,24640,11200,,78400,17920,96320
Maisha Medical Clinic,,,44800,44800,76160,222800,,318080
Maji Moto Dispensary,,,10000,,,,,
Makadara Health Care,"24,640",450,8960,34640,40320,10000,1200,152000
MAKADARA HOSPITAL,,650000,560000,380000,180000,360000,260000,650000
Makamini Dispensary,,,10000,,,,20000,
MAKAROR DISPENSARY,,,50000,30000,,73600,,108080
Makimeny Dispensary,,,30000,30000,30000,20000,,50000
Makindu Medical Centre,"371,600",,1555920,862080,384640,1389920,226600,828640
MAKINDU SUB-COUNTY HOSPITAL,,,,,1363220,5634800,,3682700
MAKOMBOANI DISPENSARY,,,20000,,,,,
Makongeni L4,"10,000",,455760,845520,501760,1184960,,1411200
Makoror Medical centre & Nursing Home,"168,640",,430080,394240,185920,759360,,1178240
Makueni County Referral Hospital,4353020,1493070,7063071,4220355,1352770,3860019,,5415924
MAKUNGA SUB-COUNTY HOSPITAL,,,,,206000,761840,,312930
MAKUTANO DISPENSARY (SOYSAMBU/MITUA),,,10000,60000,10000,120000,10000,108960
Makwasinyi Dispensary,,,,,5000,5000,10000,
Malaika Dispensary,"8,960",,10000,17920,,18960,,15680
Malakisi Health Centre,"10,000",,277520,370880,13440,344960,31520,351480
Malanga Health Centre,"20,000",20000,80000,30000,20000,40000,,100000
MALAVA SUB COUNTY HOSPITAL,"205,070",140640,778210,847120,265440,1240480,,1948320
Malela Level 4 Hospital,,,50000,,100000,80000,20000,110000
MALINDI SUB-COUNTY HOSPITAL,,,,,2371380,5818950,362660,1836120
MALKAMARI HEALTH CENTRE (MALKAMARI),,,,156880,320160,573760,,261520
Mama Anns Odede Community Health Centre,"13,440",,33600,49280,6720,54800,,128720
Mama Asha Nursing Home,"358,400",123180,409920,358400,103040,724400,,752640
MAMA BIRITA HOSPITAL LTD,,,,,422010,1321570,,1063320
Mama Fridah Clinic,"141,120",,508480,600160,288960,1145680,,1599200
MAMA GUTHA MEDICAL CLINIC,"340,480",73920,804160,694400,358400,1258880,,1061760
MAMA HABIBA MATERNITY AND NURSING HOME-BANISA LIMITED,,,,,1568400,581280,,1088560
Mama Lucy Kibaki Hospital (Embakasi),6238431,2623312,18578619,8044580,2131460,5210780,2389790,15272960
Mama Margaret Uhuru Hospital,"49,280",163600,668640,217040,85120,1914080,,1087520
Mama Maria Clinic,,31400,91840,129920,60480,105280,4480,268800
Mama Nursing Home,"262,080",155280,129920,212800,181440,685440,,605840
Mama Plister Blair Health Centre,"83,920",20520,61520,64800,92880,240400,52560,148720
Mama Rachel Ruto Maternity Hospital,"1,030,000",360000,1070160,750000,250000,490000,910000,323360
MAMAS NURSING HOME,"676,480",8960,353920,159040,103040,582400,,851200
Mambrui Dispensary,,,20000,,,,20000,
MANAL MEDICAL CENTRE,,,,945280,103040,624960,,862400
Mandera Central Sub county Hospital,"63,600",,308240,213840,258720,475920,140960,1396880
Mandera County Refferal Hospital,,,134400,,76800,458940,,1432870
Mandera Medicare Clinic,"132,160",58240,427840,349440,69440,425440,,421120
Mandera Nursing Home,33600,,98560,141120,20160,248640,49280,465920
Mandera Wellness Centre,"403,200",,638400,491680,208320,1479520,,1958880
MANDERA WELLNESS CENTRE ANNEX CO.LIMITED,,,,,1326680,601440,216740,1512000
Mandera West Nursing Home,"49,280",13940,104080,320320,244160,770480,,623840
Manga Sub County Hospital,"355,960",112650,1101920,1976000,2126320,2063840,,4820080
MANGALA DISPENSARY,,,,20000,,20000,,
MANGU HEALTH CENTRE,,,,30000,,10000,,40000
MANOTI TUMAINI MEDICAL CENTRE,,,,,163520,488160,,532640
MANSA HEALTH CENTRE,72700,,87200,11200,33440,31360,,62400
Manunga Health Centre,170000,20000,160000,50000,50000,50000,70000,150000
Manyala Sub County Hospital,"13,640",300,74500,207680,44270,317240,,263220
MANYATTA COMMUNITY MEDICAL CLINIC,"40,000",10000,,,,,,
Manyoror Dispensary,,,10000,20000,,60000,,30000
MANYUANDA HEALTH CENTRE,,,24480,38960,41200,164640,,172400
MAO AWEYS INTERNATIONAL HOSPITAL LIMITED,"324,800",604800,,,,,145600,
MAPARASHA DISPENSARY,,,,20000,,10000,,30000
Marafa Sub County Hospital,,,87040,194640,26880,182400,40240,227520
Maragua Sub County Hospital,,,686960,284800,298160,277040,127992,1216080
MARAH HOSPITAL,,,,,10000,40000,,50000
Marani District Hospital,"96,800",,260800,217680,155240,180400,53520,207280
Marble Healthcare limited,"159,040",,322560,397520,215040,620320,,739760
Marereni Dispensary,"60,000",10000,110000,110000,10000,10000,40000,180000
Maria Teressa Nuzzo Health Centre,,,11200,228480,53760,78400,,251920
MARIAKANI COMMUNITY HEALTHCARE SERVICES,,,,20160,,78400,,112000
MARIAKANI SUB-COUNTY HOSPITAL,,,380000,592000,13360,400560,,857906
MARIE STOPES KENYA EASTLEIGH NURSING HOME,,,,170000,234560,160000,,373440
MARIE STOPES KENYA NAIVASHA CLINIC,,,10000,70000,10000,30000,,60000
Marigat Sub County Referral Hospital,,,,,217120,536120,,541440
Marikebuni Dispensary,,,10000,,,,,
Maroatora Nursing Home,,,67200,78400,60480,141120,6720,226240
Marpe Medicentre,,,,67200,29120,123200,,212800
MARSABIT COUNTY REFERAL HOSPITAL,,,,,2122780,4102217,,1175820
Marurui Health Centre,,,,60000,39998,50000,10000,130000
Mary Immaculate Hospital (Nyeri North),"1,551,920",387200,1992080,1705277,193440,2195200,225040,1501600
MARY IMMACULATE KERUGOYA HOSPITAL,,,,,7481658,2620950,,621810
MARYROSA HEALTHCARE LIMITED,,,252450,,,,,
MASABA HOSPITAL LTD MASENO,,,,,1187490,3425160,,1580770
Masaba Sub-County Hospital,"100,320",20000,523580,525300,535000,1755680,,2181120
Masalani Diagnostic Limited,"208,320",,514080,369600,87360,756000,,1357440
Masco Nursing Home,"509,520",276560,508160,624800,94080,679440,,1642640
Maseno Mission Hospital,2657813,394620,2260360,1970320,734400,1453040,262615,1566240
MASHURU HEALTH CENTRE,,,30000,10000,,70000,,86800
Masii Medical Centre,"397,360",133120,480240,291200,172480,669440,,672660
MASINGA MODEL HEALTH CENTRE,,,40000,20000,70000,70000,,123520
Masogo Sub County Hospital,,,120240,126880,50320,173840,6720,424480
MASONGALENI HEALTH CENTRE,,,,30000,,,,10000
MASTOO DISPENSARY,"20,000",,,,,,,
Matababu Foundation Hospital,,,,,415021,1407254,,1191932
Matasia Health Centre,,,10000,,,,10000,10000
MATATA NURSING HOME,,,1597221,3704520,980320,4567840,1901440,6722960
Matercare Maternity Hospital,"57,830",,131360,133600,51200,443940,14140,364980
Matete Level 4 Hospital,"10,000",,253600,225280,91200,658000,,680400
Mathare North Hospital,"120,000",10000,466144,340000,70000,350000,19997,559993
Mathari Hospital,"685,440",1155840,3284880,999040,,3454080,,340480
MATILIKU DISTRICT HOSPITAL,"226,798",28000,994480,454320,177120,811760,,923280
MATONDONI DISPENSARY,,,,10000,,,,
Matuga Dispensary,,,10000,10000,10000,,20000,
Matunda Maternity Home,"156,160",17920,470640,113600,45840,439840,,618720
Matunda Sub County Hospital,"20,000",,140000,120000,70000,303680,,574320
MATUNGU SUB COUNTY HOSPITAL,,,,,601440,1251760,,893120
Matuu Level 4 Hospital,,,49750,244800,98820,159140,,277320
Matuu Mission Health Centre,,,153040,230170,90640,312800,51360,498240
Mau Narok Health Centre,,,170000,340000,50000,330000,,400000
MAUA COTTAGE HOSPITAL LIMITED,,,,,2736072,1116860,,995740
Maua Methodist Hospital,1931840,298560,3547360,3133840,1662480,4834080,245200,5123280
Mautuma Sub County Hospital,,,50000,50000,10000,140000,,210000
MAVINDINI HEALTH CENTRE,,10000,50000,,,,,20000
Maxcure Hospitals Limited-Kisumu,,,2721960,2430109,356460,2011370,1227720,3291370
MAXICARE SUNRISE HOSPITAL,3687837,53760,5479600,3192240,1549760,4622800,660959,5538000
MAXMED NURSING HOME,,,8960,11200,11200,78400,,35840
Mbagathi County Referral Hospital,7165880,3212570,12456590,6174840,4026070,9649860,14474508,13253690
MBALE HEALTH CENTRE,,,20000,,,20000,,
Mbale Rural Health Training Centre,"70,200",,190520,120000,10000,164560,,166980
MBAVANI DISPENSARY,,,10000,,,10000,,
Mbeere Sub-County Hospital,20000,,233680,124000,140720,260320,53440,334080
MBEU SUB-COUNTY HOSPITAL,,,,,30000,20000,,20000
Mbitini Rehema Community Hospital,"334,800",6500,698880,493840,106320,558800,152320,532960
Mbogoini Health Centre,"10,000",,30000,20000,,10000,,20000
Mbooni Sub County Hospital,"164,240",,318080,338720,211040,190960,293040,928240
MBUINI DISPENSARY,,,30000,,,,,10000
MBUNGONI HEALTH CENTRE,,,,,86000,177680,,111680
Mbuwani Dispensary,,,,10000,,,,
MC Tumaini-Kirura,"122,080",50550,24640,103040,29120,98560,33600,125440
Med 25 International Kenya,"113,040",69440,598960,713920,275520,1048000,,1247920
MEDICA FAMILY HOSPITAL,,,,8960,,,,
Medicatia Hospital,"315,120",80080,799280,476960,253200,585840,140240,749360
Mediforte Hospital Limited,"471,260",30000,464750,1090250,24090,1426430,,957530
Mediheal Hospital,,32000,120000,210000,156160,164400,3920,103360
Medijav Medical Services,,,40000,50000,10000,20000,10000,60000
MEDINA HEALTH CENTRE.,,,,30000,20000,30000,20000,50000
MEDINA MEDICARE HOSPITAL LIMITED,,,,,1203450,2062170,,862650
MEDINA MEDICARE LIMITED-HOLA,,,10080,989520,,70560,,87360
MEDISTAR HOSPITAL KERICHO LIMITED,,,,,3713280,2903840,,3040640
MEDITEST DIAGNOSTIC SERVICES LTD,,1770586,2738532,2899792,254369,2081810,1031831,12000
MEDITOX HEALTHCARE SERVICES LIMITED,,,,,595840,291200,,315840
Meditrust Health Care Services,"13,440",,6720,22400,44800,88400,,101760
Medlife Health Care,,,,,577920,631680,,564480
MEDLIFE HEALTHCARE LIMITED,,,20475,,,,,
Medlife Hospital Limited,5803110,3300950,7588130,6060870,1682950,3237070,1861570,1591640
Medstop Healthcare Kenya (Ikonge),"123,200",115640,853440,667520,239680,857920,,1140460
Medstops Healthcare Kenya,"893,760",197440,1457920,1557440,514080,2515600,,2640560
Medtrina Hospital,"211,680",126186,1088640,401027,525654,678560,255200,997070
MEGALIFE HOSPITAL LIMITED,,,,,2281570,67200,12188110,3647350
MELWA HEALTH CENTRE,,,,10000,,10000,,10000
MEMORATA MEDICAL CENTRE LTD,,,,71680,167500,207120,,253120
Menorah Hospital (K) LTD-Westlands Medical Centre,,,,,724200,894600,,585750
Mephi Health Services LTD-Lamu,,,,,183680,350480,,
Mephi Medical Clinic,"1,404,790",467950,2645030,737300,229950,1723760,245950,1779840
Mercy Advent Medical Centre,"266,560",,573440,716800,322560,752640,174720,1090880
Mercy Hospital,"571,280",16800,1106720,611840,381840,1076560,286320,1298000
Mercylight Hospital,"222,800",26880,1500320,649120,421600,1403680,528800,928240
Mercylite Medical Clinic- Ruiru,"362,880",216800,137520,35840,17920,126320,,114240
MERIDIAN EQUATOR HOSPITAL,,,,,3336030,842510,112460,991850
Meridian Hospital,"44,800",167920,129120,15680,26880,104640,160,145680
MERIGI DISPENSARY,,,,20000,,10000,,60000
MERU DOCTORS PLAZA LTD,14345528,11377469,21616514,7395473,5131912,3091244,8880182,1747640
Meru Jordan Hospital Ltd,3639895,3440400,6751999,3299654,451143,1769814,3874194,157680
MERU TEACHING AND REFERRAL HOSPITAL,,4866322,10504848,2906128,1910042,2054958,3023341,5470840
Meswo Medical Clinic,,,,,248640,1119705,,641680
METEITEI SUB-COUNTY HOSPITAL,,,,,310080,1204080,,733760
METROPOLITAN HOSPITAL NAIROBI,11438503,2391940,17468660,7560550,4127210,9997297,4105608,6999180
MEWA HOSPITAL MOMBASA,,,,,3973920,9111541,,2916359
Mgange Nyika Health Centre,,,20000,20000,10000,12240,,30000
Miathene District Hospital,"120,560",,184450,241360,73760,160560,100640,389040
MIDRAR MEDICAL CENTRE,"432,320",215040,367360,452480,69440,1657600,,1440320
Miendo Dispensary,,,30000,20000,10000,40000,,40000
Migori County Referral Hospital,"703,480",283760,3267240,997530,502320,2620960,,2345800
Migosi Sub County Hospital,3360,50320,110480,66720,20000,223520,44620,230160
Migwani Sub County Hospital,"50,160",,244240,328320,137600,234160,76880,424800
Mihuu Dispensary,"10,000",,20000,,,,12500,10000
Mikindani Catholic Dispensary,"13,440",,17920,23440,,66000,,145440
Mikindani Hospital,1661060,1166335,2670390,1854870,650280,2267280,393630,3062200
MIKINDANI MEDICAL CENTRE,,,,10000,,,,
Mikinduri Health Centre,"11,200",,30000,56880,21200,32400,,20000
Mikinduri Sub-District Hospial,"380,740",,343480,241600,339200,507040,,729660
Mikulinzi Nursing Home,,,134400,90720,73920,341520,,292080
Mikumbune Sub-District Hospital,"46,880",6720,157600,241520,278800,506960,,560240
MILE 46 HEALTH CENTRE,,,,10000,10000,90000,,
MILIMANI MATERNITY & NURSING HOME (MERU),,,11200,,6720,4480,,8960
Millenium Medical Centre (Etago),"273,280",41700,358400,418880,152320,811920,88560,1346960
MILO HEALTH CENTRE,,,66720,70000,20000,116720,10000,112240
Miluki Dispensary,10000,,274560,163200,,212320,16720,510320
Mimosa Cottage Hospital,"350,000",10000,2110000,1040000,370000,2630000,,2900000
MINA NURSING HOME RHAMU LIMITED,"143,360",,,78400,374080,1261120,,477120
MINDIRA CLINIC - ISIBANIA,,,,,735760,2500880,,1061760
Minto Family Healthcare Services,"470,400",142060,400960,416640,376320,768320,114240,1404160
Minto Medical Centre,"423,360",22400,510720,407680,423360,1064000,,1284560
MIRAJ2,"62,720",,47040,22400,,,118720,143200
Miranga Sub County Hospital,,,40000,30000,10000,,40000,80000
MIRANGINE HEALTH CENTRE,"10,000",,20000,30000,20000,60000,,120000
MIRIHINI DISPENSARY,"10,000",,30000,10000,,10000,,10000
Miritini CDF Health Centre,"10,000",,50000,10000,,20000,,60000
Miriu Health Centre,,,510960,480080,407200,988480,,484480
Mirogi Health Centre,"10,000",,111840,113600,63760,235600,,389840
MIRUGI KARIUKI SUB COUNTY HOSPITAL,"10,000",,60000,30000,,70000,60000,100000
MISESI SUB COUNTY HOSPITAL,,,26800,20000,,36880,10000,10000
Mission Care Nursing Home,"439,180",94820,737100,1025760,250880,1155520,57040,2130800
Mitaboni Health Centre,,,13440,,,,6720,
Mitunguu Medical Services,16800,,144240,84000,16800,171200,,667200
MIU HEALTH CENTRE,,,,20000,,10000,,70000
Mkongani Health Centre,"80,000",20000,10000,,,,10000,
MKUNGA MATERNITY & NURSING HOME,,,8960,64960,,31360,,11200
Mlaleo Health Centre (MOH),160000,70000,140000,90000,60000,120000,60000,140000
Mlolongo Health Centre,,,130000,40000,50000,80000,20000,90000
M'mangani Dispensary,,,10000,,,,,
Mnyenzeni Health centre,"30,000",,20000,,,10000,,40000
Mochenwa Royal-Summit Health Clinic,,,,276000,,210000,,
Mochongoi Health Centre,,,10000,70000,,20000,62400,70000
Modambogho Dispensary,,,5000,,,,,5000
Modern Aberdare View Hospital,"1,040,400",388480,1432240,568480,123760,1343360,,542240
Modesty Medical Centre,"33,600",,78400,33600,44800,49280,56000,105280
Moding Health Centre,"10,000",10000,10000,30000,,10000,,90000
MODOGASHE SUB-COUNTY HOSPITAL,,,168000,181040,23520,379200,,516640
MOGONGA MEDICAL AND DIAGNOSTIC CENTRE,"262,080",,479360,826560,266560,1029200,192640,1422400
Mogotio Sub-County Hospital Baringo,"276,880",10000,407520,213760,40000,420240,168880,593520
MOGUMO MEDICAL CENTRE,,,,286720,44800,945280,,539840
MOHETO UNITED METHODIST MISSION HEALTH CENTRE,,,,264320,474880,423360,,495040
Moi District Hospital Voi,,,470510,,150960,,246490,
MOI TEACHING AND REFERRAL HOSPITAL,67948111,26407629,87018780,43502896,10697484,48266058,18781003,42488344
Moi's Bridge Health Centre,,,100000,90000,40000,20000,50000,30000
MOKOWE HEALTH CENTRE,,,,10000,20080,63600,,96800
Mokowe Medical Centre,"52,080",30000,64960,25680,24640,170240,8960,176800
Molo Sub County Hospital,"297,110",10000,1541440,989520,113600,1785760,195120,2259920
Mombasa Breeze Hospital,"907,200",974400,1041600,896000,257600,1052800,996800,268800
MOMBASA CANCER CENTRE,,,,,7221642,992665,99142,
Mombasa Eye Hospital limited,,,,,240800,531450,,
MOMBASA HOSPITAL,,4654495,5285247,1745844,872380,3334848,1243159,3141340
Momoniat Health Centre,,,60000,40000,50000,60000,,140000
MONIANKU HEALTH CENTRE,,,,40000,20000,10000,,87200
Monteri Medical Hospital,"286,720",32920,336000,379600,163520,746960,51520,880320
Moshi Clinic,"596,720",239410,945280,896880,660800,2242800,,2795360
Mother & Child Hospital,"294,320",403400,544860,320460,62600,598380,,857150
Mother Amadea Health Centre,"358,240",780720,1298800,1151440,241200,1578960,150880,1835920
Mother Flora Medical Centre.,125440,17920,105280,100800,103040,409920,,194880
MOTHER KEVIN HOSPITAL (CATHOLIC),,,,,546400,660960,1329120,40000
Mothersolbrit Nursing Home,"414,400",108860,721280,1144640,324800,2325120,,1597120
Mount Olive Medical Centre,,,,,357200,813120,,725760
Moyale Nursing Home,,23520,90720,151200,20160,1007520,,651600
MP SHAH HOSPITAL,8207348,1610794,20760931,7754108,3518813,7450966,7349806,8931310
MPEKETONI SUB COUNTY HOSPITAL,,652450,1535280,1060480,281200,835680,315280,2291280
MPELI MEDICAL CENTRE,,,125440,172480,53760,183680,,136640
Mrima Maternity Hospital,"90,000",10080,569600,363440,90000,520160,83360,733360
MSAMBWENI COUNTY REFERRAL HOSPITAL,,,,,708140,3500621,3051421,4815790
Msekekwa Health Centre,"80,000",,70000,40000,,20000,,30000
Mshongoleni Community Dispensary,,,40000,10000,10000,10000,30000,30000
Mt Elgon Sub County Hospital,"220,160",,537680,421120,244720,852960,43360,769840
Mt Kenya (ACK) Hospital,4846232,2477756,8457280,4119050,1821960,7183250,2188580,6692290
MT KENYA KANGEMA HOSPITAL LIMITED,,,119475,,,,,
Mt. Kenya Kangema Hospital Limited,,,,,161280,1107600,,406480
MT. LONGONOT MEDICAL SERVICES LIMITED,,32480,,,,,,
MTARAGON HEALTH CENTRE,,,10000,20000,,20000,,110000
Mtepeni Dispensary,,,30000,50000,10000,20000,,50000
Mtomondoni Community Clinic,,,6720,11200,,,,
Mtondia Dispensary,,,20000,,,20000,,20000
Mtondia Medical Clinic,"10,000",3200,15680,28960,11200,66880,,87040
Mtwapa Nursing Home,24940,,130800,33600,56000,166640,,176480
Mtwapa Sub County Hospital,"40,000",20000,855680,,262240,792240,146720,992240
Muanda Health Centre,,25000,80320,8960,23440,,2240,210000
Mugai Dispensary,,,,10000,,10000,,20000
Muhoroni County Hospital,"113,680",30000,220720,76880,153919,435360,,612160
Muhuru Sub-County Hospital,"50,300",,133440,83360,80160,226880,63200,514560
Mukhobola Health Centre,,,10000,10000,30000,21000,9000,71000
Mukumu Hospital,1402852,629394,3660439,3575439,1404848,4864243,,5813947
Mukuru Health Centre,"180,000",,310000,390000,110000,570000,120000,730000
Mukurweini Sub-county Hospital,"340,440",546460,2247240,1173520,1060480,2486450,46320,3097740
MUKUYUNI SUB-DISTRICT HOSPITAL,"10,000",,20000,60000,,150000,,230000
Mulachi Dispensary,,,10000,,,10000,,
Mulaha Dispensary,,,10000,20000,20000,20000,,10000
Mulatya Memorial Hospital (Mkd),"198,160",127371,361920,448960,120640,369360,,829040
Mulemi Hospital.,"426,880",208560,1472320,902960,330880,823200,145120,719360
MULOT CATHOLIC DISPENSARY,,,40000,80000,,100000,,90000
Mulot Health Centre,70000,30000,60000,40000,20000,50000,20000,70000
MultiHealth Nursing Home,"51,520",,228480,362880,114240,349440,94080,611520
Mumbule Dispensary,,,,20000,10000,,,10000
Mumbuni Nursing Home,"377,040",10000,492880,451280,108240,785600,11040,760400
Mumias Model Health Centre,"6,000",,,,,,,10000
Mumias West Health Care,,,112000,136640,40320,254160,37040,247440
Mumoni Maternity and Nursing Home,,,88400,80480,67200,200400,,345840
Mundika Maternity & Nursing Home,,,115120,74800,36880,120800,25520,193200
MUNGOMA HOSPITAL,,,,,589360,4553315,,1037360
Mung'ung'u Dispensary,,,60000,30000,10000,70000,,30000
MUNGWA DISPENSARY,,,,,10000,,,
Munongo Dispensary,,,10000,,,,,
Muntasir Nursing Home,"675,360",175080,900000,1373440,372960,1333920,235200,1458240
MUNYU HEALTH CENTRE,,,20000,10000,,80000,,30000
MUQIM CLINIC DANABA,"208,320",33600,275520,282240,145600,866880,,589120
Muramati Dispensary,,,10000,,,,,
Murang'a County Refferal Hospital,737250,489390,4422750,2698680,1480660,5633500,,6801150
MURINDOKU DISPENSARY,,,20000,,,10000,,90000
Muriranjas Sub-District Hospital,,,278280,150800,221760,553360,245600,834960
Murungaru Health Centre,"30,000",,20000,20000,,70000,10000,60000
Mururi Medical Center,"163,520",10800,192640,394240,118720,788480,,598080
MUSALALA DISPENSARY,,,,,20000,,,
Musdafa Ideal Chemist,"71,680",,795200,423360,183680,996800,,1413440
MUSIKOMA DISPENSARY,,,,,30000,,,
Muskut Health Centre,30000,39997,140000,40000,30000,50000,40000,110000
Mustaqiim Nursing Home,"470,400",129960,633920,674240,206080,1299200,,1435840
Mustashfa Medical Clinic and Nursing Home Limited,"206,080",,685440,344960,190400,1225280,,772800
MUTEITHANIA NURSING AND MATERNITY HOME,,,61100,20000,,,10000,1200
MUTEMBUKU DISPENSARY,,,40000,,20000,30000,,
Muthale Mission Hospital,"611,541",231967,654629,539120,187920,797360,,844400
Mutithi Health Centre,77500,,67500,50000,30000,110000,,150000
Mutitu Sub County Hospital,87920,40000,75840,56720,10000,87920,1200,184800
MUTITUNI LEVEL 4 HOSPITAL,,,10000,20000,20000,10000,,20000
Mutuati Catholic Hospital,,,43680,134400,110880,141120,,347620
Mutuati Sub Couty Hospital,"214,960",73920,755120,390720,137360,699480,3800,1005920
Muumandu Health Center,,,20000,40000,,,,30000
MUUTINE INTERGRATED CLINIC,,,30600,,,,,
MVINDENI DISPENSARY,"21,000",,61500,,,20000,,
Mwaani Dispensary,,,,,10000,10000,10000,10000
Mwabila Dispensary,"10,000",,50000,20000,,40000,10000,40000
Mwala Subcounty Hospital,,,440960,76720,26800,320960,,140000
Mwaluvanga Dispensary,,,30000,20000,,,,
MWANA DISPENSARY,,,,10000,,,,
Mwanda Dispensary,,,10000,,,,,
MWANGATINI DISPENSARY,,,10000,,,,,30000
MWANGAZA MEDICAL CENTRE,,,4950,,,,,
MWATATE COMMUNITY HEALTH CARE,"35,840",,27920,10000,20000,126160,,133200
